File Path,malloc,free,calloc,realloc,total,subsystem
/home/k/iteration2/src/EventManager/KeyboardEvents.c,0,1,0,0,1,EventManager
/home/k/iteration2/src/ExtensionManager/FKEYLoader.c,1,1,0,0,2,ExtensionManager
/home/k/iteration2/src/ExtensionManager/ControlPanelManager.c,1,1,0,0,2,ExtensionManager
/home/k/iteration2/src/ExtensionManager/CDEFLoader.c,1,1,0,0,2,ExtensionManager
/home/k/iteration2/src/ExtensionManager/DRVRLoader.c,1,1,0,0,2,ExtensionManager
/home/k/iteration2/src/ExtensionManager/DefLoader.c,1,1,0,0,2,ExtensionManager
/home/k/iteration2/src/ExtensionManager/ExtensionManagerCore.c,1,1,0,0,2,ExtensionManager
/home/k/iteration2/src/ScrapManager/InterAppScrap.c,2,4,0,0,6,ScrapManager
/home/k/iteration2/src/ScrapManager/ModernClipboard.c,1,3,0,0,4,ScrapManager
/home/k/iteration2/src/ScrapManager/ScrapMemory.c,1,1,0,0,2,ScrapManager
/home/k/iteration2/src/MenuCommands.c,2,9,0,0,11,MenuManager
/home/k/iteration2/src/StandardFile/StandardFile.c,3,4,0,0,7,StandardFile
/home/k/iteration2/src/StandardFile/StandardFileHAL_Shims.c,1,0,0,1,2,StandardFile
/home/k/iteration2/src/WindowManager/WindowManagerCore.c,0,1,3,0,4,WindowManager
/home/k/iteration2/src/WindowManager/WindowDisplay.c,1,1,0,0,2,WindowManager
/home/k/iteration2/src/WindowManager/WindowEvents.c,0,1,0,0,1,WindowManager
/home/k/iteration2/src/WindowManager/WindowResizing.c,0,0,1,0,1,WindowManager
/home/k/iteration2/src/Apps/SimpleText/STFileIO.c,2,4,0,0,6,Apps
/home/k/iteration2/src/ControlManager/control_manager_sys7.c,2,1,0,0,3,ControlManager
/home/k/iteration2/src/ControlManager/PlatformControls.c,1,1,0,0,2,ControlManager
/home/k/iteration2/src/Chooser/chooser_desk_accessory.c,3,2,0,0,5,Chooser
/home/k/iteration2/src/QuickDraw/Regions.c,0,0,0,4,4,QuickDraw
